,author,published_at,title,description,url
18,Mariana Mazzucato,2021-03-15T10:01:00Z,Saving the Climate in a Triple Crisis,"Capitalism is facing three major crises. A pandemic-induced health crisis has rapidly ignited an economic crisis with yet unknown consequences for financial stability, and all of this is playing out against the backdrop of a climate crisis that cannot be addr…",https://newrepublic.com/article/161579/moonshot-mariana-mazzucato-climate-capitalism-crisis
19,Martha Leibs,2021-03-02T16:08:13Z,Data-driven humanitarianism,"It’s one of the most beautiful places on Earth, but its people are among the most vulnerable. Afghanistan’s snowy mountains and fertile foothills give way to arid plateaus, offering a contrast often described as stark and gorgeous. The nexus of ancient East-W…",https://www.technologyreview.com/2021/03/02/1020118/data-driven-humanitarianism/
20,Adele Peters,2021-02-23T10:30:07Z,Is your house going to flood because of climate change? These maps will tell you,"The flooding maps that determine flood insurance rates aren’t in tune with the latest climate projections. These new maps are more accurate.As climate change makes it more likely that many houses in the U.S. will flood—because of rising sea levels, extreme r…",https://www.fastcompany.com/90607141/is-your-house-going-to-flood-because-of-climate-change-these-maps-will-tell-you?partner=rss&utm_source=rss&utm_medium=feed&utm_campaign=rss+fastcompany&utm_content=rss
21,,2021-03-22T05:00:00Z,Patrick Moore and the Agenda of Fear,"Politically motivated climate alarmists are using fear to gain control of human behavior and environmental resources and undermine free, prosperous societies. Dr. Patrick Moore, an ecologist and disillusioned cofounder of Greenpeace, exposes their ag...",https://www.americanthinker.com/articles/2021/03/patrick_moore_and_the_agenda_of_fear.html
22,Wis. Sen. Jeff Smith D-31-Brunswick,2021-03-09T21:00:00Z,"It's time to wake up, take action | Business - Southernminn.com","OPINION Cynicism runs rampant in our society – and has very dangerous consequences. There are some indisputable facts that we all live with. For instance we age every day, the",https://www.agupdate.com/agriview/news/opinion/columns/its-time-to-wake-up-take-action/article_144fe3d8-f065-5178-9529-afee041f5665.html
23,Chris Edwards,2021-03-22T13:36:00Z,"Climate Change: First, Governments Should Do No Harm","Chris EdwardsOne concern about climate change is that it may cause more natural disasters such as hurricanes, floods, droughts, and forest fires. People living along the East and Gulf coasts, major rivers, and in the West may face higher risks if pessimisti…",https://www.cato.org/blog/climate-change-first-governments-should-do-no-harm
24,Climate News Network,2021-03-14T05:30:48Z,Us Economy Risks China’s Climate Impact,"In this globalised world China’s climate impact could hit America’s economy, as one country’s calamities indirectly harm other nations. The losses could grow.The post Us Economy Risks China’s Climate Impact appeared first on The Good Men Project.",https://goodmenproject.com/featured-content/us-economy-risks-chinas-climate-impact/
25,"Rachel Sandler, Forbes Staff, 
 Rachel Sandler, Forbes Staff
 https://www.forbes.com/sites/rachelsandler/",2021-03-05T22:40:30Z,NASA’s Perseverance Rover Took A Test Drive On Mars. Here’s What It Saw.,The rover will look for signs the Red Planet once supported life.,https://www.forbes.com/sites/rachelsandler/2021/03/05/nasas-perseverance-rover-took-a-test-drive-on-mars-heres-what-it-saw/
26,Climate News Network,2021-03-04T05:30:02Z,Birds Go Hungry as Warmth Means Earlier Springs,Climate change means warmer and earlier springs. And that may be of no help to those bird species that get the timing wrong.The post Birds Go Hungry as Warmth Means Earlier Springs appeared first on The Good Men Project.,https://goodmenproject.com/featured-content/birds-go-hungry-as-warmth-means-earlier-springs/
27,,2021-03-10T17:56:04Z,"Mudslide Traps Cars in California, Evacuations Ordered | The Weather Channel - Articles from The Weather Channel | weather.com - The Weather Channel","Mudslide Traps Cars in California, Evacuations Ordered | The Weather Channel - Articles from The Weather Channel | weather.com  The Weather Channel</li>Mudslide in Silverado Canyon area of Orange County  FOX 11 Los Angeles</li>Mudslide Str…",https://weather.com/news/news/2021-03-10-mudslide-landslide-irvine-california-evacuations-silverado-canyon
28,"Edward Segal, Contributor, 
 Edward Segal, Contributor
 https://www.forbes.com/sites/edwardsegal/",2021-03-15T15:58:39Z,How To Prepare For The Next Weather-Related Crisis,"From flooded roadways and buildings to downed power grids and computers, companies and organizations are subject to numerous crisis situations that can be created by Mother Nature. Here are six ways business leaders can account for weather-related emergencies…",https://www.forbes.com/sites/edwardsegal/2021/03/15/how-to-prepare-for-the-next-weather-related-crisis/
29,The Revelator,2021-03-08T23:00:38Z,A ‘Disasterologist’ Talks Climate Change,Emergency management expert Samantha Montano explains why the climate crisis should be a key part of emergency planning.The post A ‘Disasterologist’ Talks Climate Change appeared first on The Good Men Project.,https://goodmenproject.com/featured-content/a-disasterologist-talks-climate-change/
30,,2021-02-25T05:00:00Z,Getting ahead of climate change,"In ''Perspectives on flood forecast-based early action and opportunities for Earth observations,'' Claire Nauman et al. focus on flood forecasts and identify opportunities to incorporate Earth observation data into flood forecast-based early action.",https://www.eurekalert.org/pub_releases/2021-02/ssfo-gao022521.php
31,Climate News Network,2021-03-06T05:30:04Z,Record Heat Means Hurricanes Gain Ferocity Faster,"Hurricane forces are accelerating, and devastating floods can be linked to warmer oceans. But climate change is not the only factor.The post Record Heat Means Hurricanes Gain Ferocity Faster appeared first on The Good Men Project.",https://goodmenproject.com/featured-content/record-heat-means-hurricanes-gain-ferocity-faster/
32,Scott Rosenberg,2021-03-17T10:00:45Z,The split at the heart of tech's new labor movement,Tech's burgeoning new labor movement has its own class divide — between a conventional organizing push among blue collar employees and an effort among white collar employees that's based on a different set of concerns and goals.Why it matters: The tech indust…,https://www.axios.com/techs-new-labor-movement-split-010e0710-b91e-46cd-b291-73e0e479e102.html
33,Matt Williams,2021-03-19T22:13:36Z,Perseverance has Started Driving on Mars,"On February 18th, 2021, NASA’s Perseverance rover landed in the Jezero Crater on Mars. Over the next two years of its primary mission, this robotic mission will carry on in the search for past life on Mars, obtaining soil and rock drill samples that will be r…",https://www.universetoday.com/150564/perseverance-has-started-driving-on-mars/
34,Tracey Holmes,2021-03-06T19:40:20Z,"Sport set to reckon with impacts of climate change, and encouraged to act now","Sport in Australia is set to imminently face the impacts of climate change, a new report states, as calls strengthen for sporting bodies in the country to lead the way on the issue.",https://www.abc.net.au/news/2021-03-07/climate-change-and-sport-in-australia/13223896
35,Adam Mahoney,2021-03-10T11:30:03Z,Occupy hotel rooms: Inside LA’s new push to solve homelessness,Hotels don’t want to shelter homeless people. Advocates say it shouldn’t be a choice.,http://grist.org/justice/fema-project-roomkey-homelessness-los-angeles/
36,We The Web,2021-03-22T01:46:54Z,"Nadine Strossen, former ACLU president, on canceling RMS","This post is written by Hannah Wolfman-Jones but includes a response from civil-rights expert Nadine Strossen, former president of the ACLU. Birth of a Movement The origin of Richard Stallman and the free software ideas he developed is from a time before comp…",https://www.wetheweb.org/post/cancel-we-the-web
37,,2021-02-23T05:00:00Z,Alaska thunderstorms may triple with climate change,"Warming temperatures will potentially alter the climate in Alaska so profoundly later this century that the number of thunderstorms will triple, increasing the risks of widespread flash flooding, landslides, and lightning-induced wildfires, new research finds.",https://www.eurekalert.org/pub_releases/2021-02/ncfa-atm022321.php
38,"Rosen, J.",2021-02-25T18:41:01Z,Shifting ground,Fleets of radar satellites are measuring movements on Earth like never before.East Africa has been called the cradle of humanity. But the geologically active region has also given birth to dozens of volcanoes. Few have been monitored for warnings of a pot…,https://science.sciencemag.org/content/371/6532/876.full
39,,2021-03-18T09:52:11Z,Goldman Sachs Selects Moody’s ESG Solutions Dataset on Sovereign Climate Hazards,LONDON--(BUSINESS WIRE)--Moody’s ESG Solutions Group announced today that Goldman Sachs Asset Management (Goldman Sachs) has selected Sovereign Climate Risk Scores powered by Moody’s affiliate Four Twenty Seven for use in its ESG evaluation of sovereign risk.…,https://www.businesswire.com/news/home/20210318005402/en/Goldman-Sachs-Selects-Moody%E2%80%99s-ESG-Solutions-Dataset-on-Sovereign-Climate-Hazards
40,,2021-02-22T18:22:58Z,"For homeowners, the cost of flooding is going through roof","Coastal cities face biggest property losses, but so do inland areas that rarely see bad water damage. Annual tab: $20 billion -- and rising",https://www.cbsnews.com/news/u-s-can-expect-to-pay-20b-on-flood-damage-this-year-and-the-number-is-rising-climate-change/
41,"Ledyard King, USA TODAY",2021-03-22T09:00:50Z,"Biden and Congress want to fix US roads, bridges and airports, but competing forces could stall the plan","Transportation Secretary Pete Buttigieg will appear before lawmakers this week to lay out the White House's priorities on roads, bridges and airports.",https://www.usatoday.com/story/news/politics/2021/03/22/joe-bidens-plan-roads-bridges-airports-may-hit-snag-congress/4757270001/
42,,2021-02-25T05:00:00Z,Post-wildfire landslides becoming more frequent in southern California,"Southern California can now expect to see post-wildfire landslides occurring almost every year, with major events expected roughly every ten years, a new study finds. The results show Californians are now facing a double whammy of increased wildfire and lands…",https://www.eurekalert.org/pub_releases/2021-02/agu-plb022521.php
43,Associated Press Videos,2021-03-03T11:50:27Z,US: Rockets hit airbase in Iraq hosting US troops,"At least 10 rockets targeted a military base in western Iraq that hosts U.S.-led coalition troops on Wednesday, the coalition and the Iraqi military said. It...",https://news.yahoo.com/us-rockets-hit-airbase-iraq-115027936.html
44,"john.mccann@futurenet.com , John McCann",2021-03-06T11:30:39Z,DS 7 Crossback: this premium SUV can see hazards at night that you can't,"Thanks to an infrared camera when the sun goes down, the DS 7 keeps on seeing.",https://www.techradar.com/uk/news/ds-7-crossback
45,Ben Popken,2021-03-05T20:59:49Z,"Once 'essential,' grocery workers now feel 'expendable'","“We have to feed ourselves and pay rent. So we don't get tested, and we pretend everything is OK,” one grocery worker said.",https://news.yahoo.com/once-essential-grocery-workers-now-205949214.html
46,Eric Worrall,2021-03-21T05:00:00Z,Study: Hollywood Movies Demonstrate the UN Needs More Funding to Prevent Climate Disasters,"The United Nations Office of Disaster Risk Reduction is so obscure they don't even have their own ambassador. But according to a study, unless the UNDRR receives more money, disasters could soon claim a trillion dollars per year.",https://wattsupwiththat.com/2021/03/20/claim-hollywood-movies-demonstrate-the-un-should-have-more-funding-to-prevent-climate-disasters/
47,"Andrew Stuttaford, Andrew Stuttaford",2021-03-06T13:07:02Z,Rule by Regulation,"The week of March 1: the march of the regulators, electric vehicles, policing the menu and much, much more.]",https://www.nationalreview.com/2021/03/rule-by-regulation/
48,"Navin Singh Khadka - Environment correspondent, BBC World Service",2021-03-05T00:59:29Z,The Himalayan hazards nobody is monitoring,"Retreating Himalayan glaciers can become hazardous but such dangers are not being monitored, experts say.",https://news.yahoo.com/himalayan-hazards-nobody-monitoring-005929270.html
49,,2021-03-05T13:07:59Z,CoreLogic Partners with Echo Bravo Productions in Docu-Series to Provide Relief to Communities in the Wake of Louisiana Hurricanes,"IRVINE, Calif.--(BUSINESS WIRE)-- #Foreclosure--CoreLogic Partners with Echo Bravo Productions in Docu-Series to Provide Relief to Communities in the Wake of Louisiana Hurricanes",https://www.businesswire.com/news/home/20210305005100/en/CoreLogic-Partners-with-Echo-Bravo-Productions-in-Docu-Series-to-Provide-Relief-to-Communities-in-the-Wake-of-Louisiana-Hurricanes
50,CBC News,2021-03-18T17:24:23Z,What does 'ethical travel' mean?,"In this week's issue of our environment newsletter, we look at what it means to travel ethically and why a group of green advocacy groups decided to call out oil and gas giant Chevron to the Federal Trade Commission in the U.S.",https://www.cbc.ca/news/technology/what-on-earth-ethical-travel-1.5954998
51,Gerard Lye,2021-03-05T02:13:52Z,Kia K8 interior revealed ahead of full debut this year,"The slow reveal of the Kia K8 continues, with the Korean carmaker officially opening the doors of its new sedan to show us the interior. Kia promises “a first-class interior lounge that blends premium luxury […]The post Kia K8 interior revealed ahead of full…",https://paultan.org/2021/03/05/kia-k8-interior-revealed-ahead-of-full-debut-this-year/
52,Charles Rotter,2021-03-11T22:00:00Z,Climate adaptation follies. Part I: The New Jersey challenge,"Reposted from Dr. Judith Curry’s Climate Etc. Posted on March 7, 2021 by curryja |  by Judith Curry New Jersey has a sea level rise problem.  How should this be managed? New Jersey’s peninsular…",https://wattsupwiththat.com/2021/03/11/climate-adaptation-follies-part-i-the-new-jersey-challenge/
53,Alexandra Odynova,2021-02-23T15:33:00Z,Russian tanker cuts previously impossible path through warming Arctic,"The Northern Sea Route is a shortcut across the Arctic that can save shipping companies a lot of cash, but was never passable in the winter, until now.",https://www.cbsnews.com/news/russian-tanker-cuts-a-previously-impossible-path-through-the-warming-arctic/?ftag=YHF4eb9d17
54,,2021-03-09T21:41:07Z,"New report: U.S. dams, levees get D grades, need $115 billion in upgrades","This is a re-post from Yale Climate Connections by Jeff Masters, PhDThe American Society of Civil Engineers (ASCE) gave America’s infrastructure a C- grade in its quadrennial assessment issued March 3. ASCE gave the nation’s flood control infrastructure – da…",https://skepticalscience.com/news.php?n=5032
55,"John H. Patterson, Topher L. McDougal",2021-03-18T11:34:29Z,Revenge of the nerds: Disaster risk reduction and climate change,"DRR isn’t the coolest kid on the block. But with climate change fuelling risks and humanitarian funding plateauing, ignoring it comes at a price.",https://www.thenewhumanitarian.org/opinion/2021/3/18/revenge-of-the-nerds-disaster-risk-reduction-and-climate-change
56,JOHN FLESHER,2021-03-15T19:05:04Z,Scientists: Climate-whipped winds pose Great Lakes hazards,"Powerful gusts linked to global warming are damaging water quality and creating a hazard for fish in Lake Erie and perhaps elsewhere in the Great Lakes, according to researchers.",https://www.startribune.com/scientists-climate-whipped-winds-pose-great-lakes-hazards/600034594/
57,Cameron Marshall And Emma Siossian,2021-03-07T21:03:10Z,'It's like living in a David Attenborough documentary': Unique island cloud forest thrives,A Lord Howe Island expert says a cloud forest at the top of towering Mt Gower is bursting with native plant and animal life after rats and mice were eradicated.,https://www.abc.net.au/news/2021-03-08/cloud-forest-of-lord-howe-island-thrives-since-rat-removal/13216880
58,Cara Korte,2021-03-18T17:38:24Z,Democrats turn to environmental justice in inequality fight,"Legislators are set to introduce a pair of bills focused on fighting ""environmental injustice.""",https://www.cbsnews.com/news/environmental-justice-legislation-democrats/
59,The Editorial Board,2021-03-14T05:00:00Z,Big flood insurance rate changes are coming to NC. Will they be fair?,"““The longer you wait to correct something, the greater the pain,” said one former official.",https://news.yahoo.com/big-flood-insurance-rate-changes-050000435.html
60,Al Tompkins,2021-02-23T11:00:20Z,President Biden opens two-week signup for small business help,"Covering COVID-19 is a daily Poynter briefing of story ideas about the coronavirus and other timely topics for journalists, written by senior faculty Al Tompkins. Sign up here to have it delivered to your inbox every weekday morning. President Joe Biden annou…",https://www.poynter.org/reporting-editing/2021/president-biden-opens-two-week-signup-for-small-business-help/
61,Adele Peters,2021-02-23T10:30:07Z,Is your house going to flood because of climate change? These maps will tell you,"As climate change makes it more likely that many houses in the U.S. will flood—because of rising sea levels, extreme rainfall, or both—federal flood maps, which are used to determine rates for flood insurance, are out of date. A new report maps out where home…",https://www.fastcompany.com/90607141/is-your-house-going-to-flood-because-of-climate-change-these-maps-will-tell-you?utm_source=postup&utm_medium=email&utm_campaign=world-changing-ideas&position=1&partner=newsletter&campaign_date=02232021
62,Andrew Stuttaford,2021-03-06T13:07:02Z,Rule by Regulation,"The fondness of the Biden administration for rule by regulation is hardly a secret by now, and, when it comes to telling corporations that they should run...",https://news.yahoo.com/rule-regulation-130702962.html
63,"Roshanak (Roshi) Nateghi, Assistant Professor of Industrial Engineering, Purdue University",2021-03-02T13:24:07Z,The Texas blackouts showed how climate extremes threaten energy systems across the US,"There will be more weather-driven disasters like February's deep freeze in Texas, and energy planners aren't prepared.",https://theconversation.com/the-texas-blackouts-showed-how-climate-extremes-threaten-energy-systems-across-the-us-155834
64,Michael E. Mann,2021-02-23T19:30:01Z,The Right Path Forward on Climate Change | Opinion,Whether we have a climate crisis is no longer a matter of worthy debate. Precisely how we solve it is.,https://www.newsweek.com/right-path-forward-climate-change-opinion-1571169
65,Green Economy Coalition,2021-03-11T08:00:15Z,Can Steel Ever Be Green?,"Backbone of industry, bane of the environment.The post Can Steel Ever Be Green? appeared first on The Good Men Project.",https://goodmenproject.com/featured-content/can-steel-ever-be-green/
66,NRDC,2021-03-20T02:23:34Z,Course Correction: Federal Oil & Gas Leasing Needs Fixing,"President Biden’s directive to the Interior Department, on January 27, to pause the sale of new federal oil and gas leases gives us a chance to reconsider and fix our broken system of leasing on public lands and federal waters.",https://cleantechnica.com/2021/03/19/course-correction-federal-oil-gas-leasing-needs-fixing/
67,SOPHIA EPPOLITO and FELICIA FONSECA,2021-03-10T16:53:31Z,Western states chart diverging paths as water shortages loom,"As persistent drought and climate change threaten the Colorado River, several states that rely on the water acknowledge they likely won't get what they were ...",https://news.yahoo.com/western-states-chart-diverging-paths-165331438.html
68,SKARA BOHNY AND TIM NEWMAN,2021-03-10T20:50:56Z,Council back open for business after Extinction Rebellion protest,"The doors are back open, but it was a different story hours earlier after environmental group Extinction Rebellion blocked entrances to Nelson City Council to protest against the use of glyphosate.",https://www.stuff.co.nz/nelson-mail/300249839/council-back-open-for-business-after-extinction-rebellion-protest
69,,2021-03-12T05:00:00Z,Sea-level rise drives wastewater leakage to coastal waters,"A new study, published by University of Hawai'i at Mānoa earth scientists, is the first to provide direct evidence that tidally-driven groundwater inundation of wastewater infrastructure is occurring today in urban Honolulu, Hawai'i. The study shows that high…",https://www.eurekalert.org/pub_releases/2021-03/uoha-srd031121.php
70,John Flesher - The Associated Press,2021-03-15T18:07:39Z,Scientists: Climate-whipped winds pose Great Lakes hazards,"TRAVERSE CITY, Mich. - Powerful gusts linked to global warming are damaging water quality and creating a hazard for fish in Lake Erie and perhaps else...",https://www.thestar.com/news/world/us/2021/03/15/scientists-climate-whipped-winds-pose-great-lakes-hazards.html
71,"Stephen Ibaraki, Contributor, 
 Stephen Ibaraki, Contributor
 https://www.forbes.com/sites/stephenibaraki/",2021-03-02T20:20:54Z,What You Need For Mitigating Risk Of Natural Disasters,"To gain deeper insights into employing AI for Natural Disaster Management, I did a non-profit IEEE chat with the new focus group chair, Dr. Monique Kuglitsch.",https://www.forbes.com/sites/stephenibaraki/2021/03/02/what-you-need-for-mitigating-risk-of-natural-disasters/
72,Nausicaa Renner,2021-03-09T15:01:49Z,The Politics of the Anthropocene in a World After Neoliberalism,"Can today’s crises inspire action at the scales required to think about planetary sustainability? Duncan KellyMarch 10, 2021This essay is featured in Boston Review’s new book, Climate Action.Order A Copy TodayHistorian Adam Tooze has argued…",http://bostonreview.net/science-nature/duncan-kelly-politics-anthropocene-world-after-neoliberalism
73,Jennifer Sensiba,2021-03-10T12:00:12Z,"Making Starbase, Texas, Sustainable & Resilient, Part 2: Identifying Risks & Organizing The City","In Part 1, I covered some of the advantages Starbase will have along with the things that need to be baked into the city’s operations and culture from the beginning. In this article, I’m going to get more specific on some of the risks the city will face and s…",https://cleantechnica.com/2021/03/10/making-starbase-texas-sustainable-resilient-part-2-identifying-risks-organizing-the-city/
74,Paul Douglas,2021-03-17T03:12:33Z,The Big Melt: Warming Trend Into the Weekend,"No weather-related drama anytime soon, just a warming trend into Sunday, and a chance of steadier rain early next week as the atmosphere pivots into a springier pattern in the coming days. Most of the snow in your yard should be gone by Thursday. Unless you l…",https://www.startribune.com/the-big-melt-warming-trend-into-the-weekend/600035189/
75,Associated Press,2021-03-06T17:16:12Z,Pakistan security forces say 8 militants killed in raids,"Pakistani security forces say they raided militant hideouts in two different operations in former Taliban strongholds in North Waziristan Saturday, killing...",https://news.yahoo.com/pakistan-security-forces-8-militants-171612477.html
76,Remeredzai Joseph Kuhudzai,2021-03-02T17:45:53Z,Electric Boda-Bodas Launch: A Promising Day For Electric Transportation In East Africa,"Kenya and Uganda’s electricity grids are predominantly powered by renewable energy. Geothermal, wind, hydro, and some utility-scale solar power Kenya’s grid, making up over 90% of the generation mix. In Uganda, hydro makes up most of the generation capacity. …",https://cleantechnica.com/2021/03/02/electric-boda-bodas-launch-a-promising-day-for-electric-transportation-in-east-africa/
77,Shell International B.V.,2021-03-11T07:05:00Z,Shell publishes Annual Report and Accounts,"11-Mar-2021 Royal Dutch Shell plc published its Annual Report and Accounts for the year ended December 31, 2020. The 2020 Annual Report and Accounts can be...",https://finance.yahoo.com/news/shell-publishes-annual-report-accounts-070500012.html
78,Amanda Akesson,2021-03-03T16:20:06Z,Weak science puts meat in the hot seat — once again,"Two recent studies claim eating meat increases the risk of a host of illnesses, including dying. But these studies rely on low-quality evidence and aren’t reliable enough to meaningfully inform whether we should eat meat.We’ve covered the science behind ea…",https://www.dietdoctor.com/weak-science-puts-meat-in-the-hot-seat-once-again
79,newsfeeds@nzherald.co.nz,2021-03-09T21:23:16Z,Extreme weather events predicted for Otago in long term finds climate change report,"By RNZ A milestone report detailing the risks that climate change poses to Otago including widespread flooding will be tabled this afternoon.The Otago Climate Change Risk Assessment found that in the long-term, climate change...",https://www.nzherald.co.nz/nz/extreme-weather-events-predicted-for-otago-in-long-term-finds-climate-change-report/2BNZH6WSS4N4R3X5OQEJU3SZPM/
80,,2021-03-03T06:35:17Z,"Skeptical Science New Research for Week #9, 2021","Why New Research?Skeptical Science exists for the purpose of improving public capacity for critical thinking about anthropogenic  climate change. Effective critical analysis requires a basis of information, and for our purpose the wellsprings of fundamental …",https://skepticalscience.com/news.php?n=5027
81,Climate News Network,2021-03-20T04:30:19Z,Humans Put Conservation Reserves at Risk,In theory conservation reserves are set aside to preserve wild creatures. But then the humans move in. Land almost twice the area of India is threatened.The post Humans Put Conservation Reserves at Risk appeared first on The Good Men Project.,https://goodmenproject.com/featured-content/humans-put-conservation-reserves-at-risk-2/
82,Zoltan Ban,2021-03-12T12:42:50Z,"Cameco Did Alright In 2020, Set To Do Much Better In Coming Years","Cameco set to benefit from higher prices, given ample economic reserves, ability to produce uranium profitably, and its capacity to increase mined production in response to higher prices.",https://seekingalpha.com/article/4413434-cameco-alright-2020-much-better-in-coming-years
83,,2021-02-24T18:33:31Z,"Skeptical Science New Research for Week #8, 2021","Ground truths on warmingWhen we think about rapid climate change of the kind we've accidentally unleashed and the warming of Earth systems inherent in the process, we tend to focus on phenomena in order of their immediate tangibility, their drama. Sea ice lo…",https://skepticalscience.com/news.php?n=5020
84,Kalina Oroschakoff,2021-02-24T13:13:23Z,"Amid record temperatures, Brussels looks to ready Europe for climate change",Commission looks to insurance industry to spread risks and costs.,http://www.politico.eu/article/european-commission-europe-climate-change-strategy/
